home_team,home_q1,home_q2,home_q3,home_q4,home_q5,home_final,away_team,away_q1,away_q2,away_q3,away_q4,away_q5,away_final,season,week
Kansas City ChiefsKansas City (1-0),0,7,0,7,14,14,Baltimore ColtsBaltimore (0-1),0,0,0,0,0,0,1979,1
Denver BroncosDenver (1-0),0,3,7,0,10,10,Cincinnati BengalsCincinnati (0-1),0,0,0,0,0,0,1979,1
Los Angeles RamsLos Angeles (0-1),7,10,0,0,17,17,Oakland RaidersOakland (1-0),0,10,14,0,24,24,1979,1
Seattle SeahawksSeattle (0-1),3,7,0,6,16,16,San Diego ChargersSan Diego (1-0),0,13,10,10,33,33,1979,1
New England PatriotsNew England (0-1),7,6,0,0,0,13,Pittsburgh SteelersPittsburgh (1-0),0,6,0,7,3,16,1979,1
Denver BroncosDenver (1-1),0,2,7,0,9,9,Los Angeles RamsLos Angeles (1-1),6,0,0,7,13,13,1979,2
Buffalo BillsBuffalo (1-1),0,10,21,20,51,51,Cincinnati BengalsCincinnati (0-2),0,10,7,7,24,24,1979,2
Pittsburgh SteelersPittsburgh (2-0),7,3,14,14,38,38,Houston OilersHouston (1-1),0,0,0,7,7,7,1979,2
Chicago BearsChicago (2-0),0,10,9,7,26,26,Minnesota VikingsMinnesota (1-1),0,7,0,0,7,7,1979,2
Green Bay PackersGreen Bay (1-1),0,0,21,7,28,28,New Orleans SaintsNew Orleans (0-2),3,9,0,7,19,19,1979,2
New York GiantsNY Giants (0-2),14,0,0,0,14,14,St. Louis CardinalsSt. Louis (1-1),0,14,13,0,27,27,1979,2
Detroit LionsDetroit (0-2),3,0,0,21,24,24,Washington RedskinsWashington (1-1),0,17,7,3,27,27,1979,2
Baltimore ColtsBaltimore (0-2),17,0,0,9,0,26,Tampa Bay BuccaneersTampa Bay (2-0),0,13,0,13,3,29,1979,2
Kansas City ChiefsKansas City (1-1),0,0,7,17,24,24,Cleveland BrownsCleveland (2-0),10,7,3,7,27,27,1979,2
San Francisco 49ersSan Francisco (0-2),3,7,0,3,13,13,Dallas CowboysDallas (2-0),3,3,7,8,21,21,1979,2
New England PatriotsNew England (1-1),14,21,7,14,56,56,New York JetsNY Jets (0-2),3,0,0,0,3,3,1979,2
San Diego ChargersSan Diego (2-0),14,7,2,7,30,30,Oakland RaidersOakland (1-1),0,3,7,0,10,10,1979,2
Miami DolphinsMiami (2-0),0,9,3,7,19,19,Seattle SeahawksSeattle (0-2),0,3,7,0,10,10,1979,2
Philadelphia EaglesPhiladelphia (1-1),3,7,0,0,10,10,Atlanta FalconsAtlanta (2-0),0,7,0,7,14,14,1979,2
Cleveland BrownsCleveland (3-0),0,3,7,3,13,13,Baltimore ColtsBaltimore (0-3),10,0,0,0,10,10,1979,3
Atlanta FalconsAtlanta (2-1),0,10,0,7,0,17,Denver BroncosDenver (2-1),7,3,7,0,3,20,1979,3
